id,title,abstract,agent1-rater1,agent1-rater2,agent1-rater3,agent2-rater1,agent2-rater2,agent2-rater3,agent3-rater1,agent3-rater2,agent3-rater3,reviewer1,reviewer2,gold standard
#23,Treatment of epigastralgia by external application of huweigao at shenque point,"140 cases of epigastralgia were divided into two groups at random. The 100 cases in the treatment group were treated with Huweigao externally applied at Shenque (Ren 8), and the 40 cases in the control group by oral administration of Weinaian capsule. After a one-month treatment, the total symptom-relieving rate and the gastroscopy-proved effective rate were 94.0% and 52.6% respectively in the treatment group, much superior to those in the control group.",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
#30,Acupuncture in Women with Human Polycystic Ovary/Ovarian Syndrome: Protocol for a Randomized Controlled Trial,"(1) Background: Human polycystic ovary/ovarian syndrome (PCOS) is linked to endocrine, metabolic, and psychological complications. We propose a randomized controlled pilot study for an acupuncture protocol regarding the management of PCOS symptoms based on TCM diagnosis; (2) Methods: We will randomly allocate 120 women diagnosed with PCOS into two groups. The study group will be treated with acupuncture for points known to act upon the autonomous regulation of the hormonal, metabolic and emotional components. (3) Results and Conclusions: We expect to provide evidence of high methodological quality related to the effects and safety of an acupuncture protocol based on the perspective of a TCM diagnostic.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#35,Irritable bowel syndrome: a mild disorder; purely symptomatic treatment,"(1) Patients frequently complain of occasional bowel movement disorders, associated with abdominal pain or discomfort, but they are rarely due to an underlying organ involvement. Even when patients have recurrent symptoms, serious disorders are no more frequent in these patients than in the general population, unless other manifestations, anaemia, or an inflammatory syndrome is also present; (2) There is currently no way of radically modifying the natural course of recurrent irritable bowel syndrome; (3) The effects of antispasmodics on abdominal pain have been tested in about 20 randomised controlled trials. Pinaverium and peppermint essential oil have the best-documented efficacy and only moderate adverse effects. Antispasmodics with marked atropinic effects do not have a favourable risk-benefit balance; (4) Tricylic antidepressants seem to have only modest analgesic effects in this setting. In contrast, their adverse effects are frequent and they have somewhat negative risk-benefit balances. Nor has the efficacy of selective serotonin reuptake inhibitor antidepressants (SSRIs) been demonstrated; (5) Alosetron and tegaserod carry a risk of potentially life-threatening adverse effects and therefore have negative risk-benefit balances; (6) Seeds of plants such as psyllium and ispaghul, as well as raw apples and pears, have a limited impact on constipation and pain. Osmotic laxatives are effective on constipation. Symptomatic treatments for constipation can sometimes aggravate abdominal discomfort; (7) Loperamide has been poorly assessed in patients with recurrent irritable bowel syndrome with diarrhoea. It modestly slows bowel movement but does not relieve pain or abdominal discomfort; (8) Dietary measures have not been tested in comparative trials. Some patients are convinced that certain foods provoke a recurrence of irritable bowel syndrome, but restrictive diets carry a risk of nutritional deficiencies; (9) Various techniques intended to control emotional and psychological disturbances have been proposed, including relaxation, biofeedback, hypnosis, and psychotherapy. The results of clinical trials are not convincing; (10) Oral products containing live bacteria, designed to change the equilibrium of intestinal flora, have been tested in 13 placebo-controlled trials, with inconsistent results. A few cases of septicaemia have been reported; (11) The six available trials of acupuncture (versus sham acupuncture) showed no more than a placebo effect; (12) In practice, patients who have recurrent irritable bowel syndrome but with no other signs of a condition warranting specific treatment should be reassured as to the harmless nature of their disorder if a careful physical examination and basic laboratory tests are negative. The only available treatments have purely symptomatic effects and only limited efficacy. It is best to avoid using all treatments and additional diagnostic investigations that carry a risk of disproportionate adverse effects.",Yes,No,Yes,No,No,No,No,No,No,No,No,No
#41,Electrocortical Analysis of Patients with Intercostobrachial Pain Treated with TENS after Breast Cancer Surgery,"[Purpose] Among the physical therapeutic procedures to decrease pain, there is transcutaneous electrical neural stimulation (TENS). There is no consensus about its efficacy for oncological patients, especially for post-mastectomy pain and eletrocortical changes in somatosensory areas. The aim of this study was to analyze acute electrocortical changes after TENS treatment of patients with intercostobrachial post mastectomy pain. [Subjects] Eighteen patients were divided into acupuncture (A) and burst (B) group. [Methods] In this pre and post-intervention study each group was measured for EEG analysis in absulte power in alpha band (8-14 Hz). Outcomes variables were the alpha waveband in the sensorymotor cortex and pain pre-and-post TENS intervention. Data were analyzed using ANOVA to compare times (rest, 10 and 15 min), group and electrodes. Pain was analyzed using percentual pain evaluation (PPE) in both groups. [Results] Outcomes indicate main effects of time and electrodes because of slow (8-10 Hz) and fast alpha (10-12 Hz) wavebands decreased. PPE reduced 88.4% in A and 66.3% in G. [Conclusion] TENS promoted electrical modification in the parietal region and a decrease in pain. Future studies should investigate other wave must be proposed for other bands and use different methods of EEG analysis to elucidate the actual mechanisms behind the efficacy of TENS treatment.",No,No,No,Yes,No,Yes,No,No,No,No,No,No
#57,Correction: Rationale for the Use of Acupuncture to Stabilize Blood Pressure Fluctuations During Total Laparoscopic Hysterectomy: Protocol for a Pilot Parallel-Group Randomized Clinical Trial,[This corrects the article DOI: 10.2196/77009.].,No,No,No,No,No,No,No,No,No,No,No,No
#61,Corrigendum: Circulating exosomal microRNA profiles in migraine patients receiving acupuncture treatment: a placebo-controlled clinical trial,[This corrects the article DOI: 10.3389/fnmol.2022.1098766.].,No,Yes,Yes,No,No,No,No,No,No,No,No,No
#79,Effect of acupuncture on gut microbiota in participants with subjective cognitive decline,"A close relationship has recently been described between subjective cognitive decline (SCD) and gut microbiota disorders. Herein, we aim to investigate the effect of electroacupuncture (EA) on gut microbiota in participants with SCD.We conducted a study of 60 participants with SCD. Sixty participants were allocated to either EA group (n = 30) or sham acupuncture group (n = 30). Both groups received 24 sessions of real acupuncture treatment or identical treatment sessions using the placebo needle. Global cognitive change based on a comprehensive neuropsychological test battery was evaluated to detect the clinical efficacy of acupuncture treatment at the baseline and the end of treatment. Faecal microbial analyses were carried out after collecting stools at T0 and T12 weeks. Microbiomes were analyzed by 16S ribosomal RNA gene sequencing. Correlation analyses were performed to investigate the relationships between the changes in gut microbiota and symptom improvement.Age is a particularly important factor leading to the severity of dementia. Compared with sham acupuncture group, the number of Escherichia-Shigella in EA group decreased after treatment. The number of Escherichia-Shigella in EA group decreased after treatment compared with EA group before treatment. Bifidobacterium is positively correlated with clinical efficacy Z-score and Montreal Cognitive Assessment Scale (both P < .005).Acupuncture could improve global cognitive change among SCD participants by regulating the intestinal flora. Dysbiosis was found in the gut microbiome in SCD and partially relieved by acupuncture. Our study suggests that gut microbiota could be a potential therapeutic target and diagnostic biomarker for SCD.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
#86,Importance of modes of acupuncture in the treatment of chronic nociceptive low back pain,"A controlled study of different modes of acupuncture stimulation was conducted on patients fulfilling clinical criteria for chronic low back pain of nociceptive origin. Forty patients were randomly entered into the study. Thirty had three trial treatments with manual stimulation of needles (MS), electrical low frequency stimulation at 2 Hz (LF), and high-frequency stimulation at 80 Hz (HF), and then continued treatment with the mode they felt most benefitted them. Ten patients were put on the waiting list for treatment but served as the untreated control group. The results were evaluated after 6 weeks and at 6 months for: activity related to pain; mobility; verbal descriptors of pain and the patient's subjective assessment of his condition. After 6 weeks, patients receiving treatment showed significant improvement (P < 0.05 to P < 0.001) on three of the four measures compared to the untreated controls. After 6 months a similar measure of significant improvement was seen in patients continuing with low-frequency (LF) acupuncture, but not in those groups continuing with manual stimulation (MS) or high-frequency (HF) acupuncture. The results suggest that 2 Hz electrical stimulation is the mode of choice when using acupuncture in the treatment of chronic nociceptive low back pain.",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No
#102,Meta-analytic review of the efficacy of smoking cessation interventions,"A meta-analysis of randomized and controlled evaluations of the efficacy of smoking cessation interventions compared 146 estimates of the difference in abstinence rates between treated and control conditions (effect sizes) from 85 publications. Simple advice to quit and other brief intervention techniques, nicotine chewing gum and behavioural techniques were all found to be significantly better than relevant control conditions in promoting abstinence, although the results were not homogeneous. In five studies of acupuncture compared with control, consistent results were found showing no benefit for acupuncture.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#103,A model of clinical pain. Technique for evaluation of analgesic agents,"A method is described utilizing repetitive electrical stimulation for the production of long-term continuous pain which approaches the quality of clinical pain. This technique provides for on-line monitoring of actual power delivered to the subject. Incremental stimuli of high and low intensities were randomly superimposed on continuous painful background electrical stimulation. Subjects were studied in a triple crossover design with acupuncture, codeine and baseline treatments. Data were evaluated by Sensory Decision Theory (SDT) procedures. The codeine compound significantly raised the response criterion to higher intensity stimuli but did not effect perception of low intensity stimuli, indicating an analgesic but not an anesthetic effect. No significant differences were found between control and acupuncture results for either pain discriminability or pain report criterion. The results are discussed with regard to the physiological effects of electrical stimulation and the merits of this new stimulation technique.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
