id,title,abstract
#31,"Can Acupuncture Improve the Flexibility of Hamstring Muscles? A Randomized, Blinded, and Controlled Pilot Study","(1) Background: The lack of flexibility is frequently reported as a risk factor for hamstring muscle damage. Acupuncture, a therapeutic tool of traditional Chinese medicine (TCM), may play a role in both treatment and prevention by improving muscle strength, microcirculation, and reducing muscle soreness. The primary objective of this pilot study was to examine the immediate effects of acupuncture on hamstring muscle stretching and on the pain or discomfort reported during stretching. (2) Methods: To mitigate heterogeneity effects, and due to the small sample size, the study employed a crossover design in which each participant was tested at three different moments of the experimental period with verum (true acupuncture in selected acupoints), sham (fake acupuncture in zones of the skin not corresponding to any known acupoint but near the selected acupoints), and placebo (stimulation of the selected acupoints with a stainless steel wire and cannula, without puncturing) stimulations. Flexibility and pain or discomfort were assessed using the seat and reach test (SR) and a visual analogic scale (VAS). (3) Results: Significant changes in flexibility were observed after verum acupuncture (p = 0.03), while no significant changes were seen in sham and placebo (p = 0.86 and p = 0.18, respectively). No significant differences were found in pain or discomfort during any of the stimulations (verum, p = 0.55; sham, p = 0.50; placebo, p = 0.58). (4) Conclusions: The results of this pilot study suggest that acupuncture may improve flexibility in the hamstring muscles, though it does not significantly affect pain or discomfort during stretching."
#41,Electrocortical Analysis of Patients with Intercostobrachial Pain Treated with TENS after Breast Cancer Surgery,"[Purpose] Among the physical therapeutic procedures to decrease pain, there is transcutaneous electrical neural stimulation (TENS). There is no consensus about its efficacy for oncological patients, especially for post-mastectomy pain and eletrocortical changes in somatosensory areas. The aim of this study was to analyze acute electrocortical changes after TENS treatment of patients with intercostobrachial post mastectomy pain. [Subjects] Eighteen patients were divided into acupuncture (A) and burst (B) group. [Methods] In this pre and post-intervention study each group was measured for EEG analysis in absulte power in alpha band (8-14 Hz). Outcomes variables were the alpha waveband in the sensorymotor cortex and pain pre-and-post TENS intervention. Data were analyzed using ANOVA to compare times (rest, 10 and 15 min), group and electrodes. Pain was analyzed using percentual pain evaluation (PPE) in both groups. [Results] Outcomes indicate main effects of time and electrodes because of slow (8-10 Hz) and fast alpha (10-12 Hz) wavebands decreased. PPE reduced 88.4% in A and 66.3% in G. [Conclusion] TENS promoted electrical modification in the parietal region and a decrease in pain. Future studies should investigate other wave must be proposed for other bands and use different methods of EEG analysis to elucidate the actual mechanisms behind the efficacy of TENS treatment."
#151,Superficial acupuncture in the relief of chronic low back pain,"A single-blind, randomised, placebo-controlled trial of superficial acupuncture in the treatment of low back pain was carried out by comparing 8 patients treated by acupuncture with 9 patients treated by placebo. In all five measures of efficacy chosen for study the acupuncture group achieved better responses than the placebo group; four of the five inter-group differences were statistically significant. In addition, an overall mean for all five measures combined showed significant superiority of acupuncture over placebo."
#185,[Application of expertise-based pragmatic randomized controlled trial in acupuncture-moxibustion clinical research],"According to clinical practice, the characteristics and issues of pragmatic randomized controlled trial(PRCT) and expertise-based randomized controlled trial (EBRCT) in acupuncture-moxibustion clinical research were summarized. The characteristics of expertise-based pragmatic randomized controlled trial (EB-PRCT), which is the combination of above two, and its application in acupuncture-moxibustion clinical trial were explored. PRCT emphasizes the clinical practice, the positive control of standard therapy and the the blind performance on data collection and statistics. PRCT has the advantage of flexible grouping, nevertheless, it also has shortcomings such as higher cost and lack of typical subjects. EBRCT emphasizes the participation of professional acupuncturists, so that the therapeutic effect is ensured, the compliance of subjects and the bias of manipulation are improved. Thus, the replacement scheme of acupuncturists is essential in EBRCT. Having the complementary advantages, EB-PRCT provides a superior research method for acupuncture-moxibustion clinical trial, and leads to convincing results."
#195,Assessment of Acupoint Therapy of Traditional Chinese Medicine on Cough Variant Asthma: A Meta-analysis,"Acupoint application has been used in China to treat various illnesses for ages. In cough variant asthma (CVA), the main clinical sign is episodic night cough. Acupoint application therapy of traditional Chinese medicine is an effective procedure to treat cough variant asthma. The current study is designed to systematically assess the effectiveness of acupoint application therapy in traditional medicine for patients with cough variant asthma. The comprehensive computer retrieval related to comparison between acupoint application and nonacupoint application therapy for cough variant asthma was carried out in various databases (n = 8) from database establishment until July 4, 2021. Both English and Chinese articles about original investigations in humans were searched. Two independent authors extracted the data, and disagreements were resolved by discussion. ReviewManager 5.3 software provided by Cochrane did a meta-analysis of selected randomized controlled trials (RCTs). Quality of experimentation and risk bias were analyzed by the Cochrane Handbook tool. A total of thirteen randomized controlled clinical articles along with 1237 patients were included in the study. Findings of meta-analysis showed that compared with nonacupoint application treatment, the total effective rate of acupoint application treatment is more effective (RD = 0.13, 95% CI (0.09, 0.17), Z = 6.70, P < 0.00001). Besides, acupoint application can improve patients' lung function, the lung function index FVC (mean difference = 0.55, 95% confidence interval (0.42, 0.68), Z = 8.40, P < 0.00001), FEV1 (MD = 0.35, 95% CI (0.23, 0.47), Z = 5.86, P < 0.00001), FEV1/FVC (%) (MD = 12.68, 95% CI (4.32, 21.03), Z = 2.97, P = 0.003), FEV1 (%) (MD = 8.63, 95% CI (8.01, 9.25), Z = 27.44, P < 0.00001), and PEF (day) (MD = 0.62, 95% CI (0.52, 0.71), Z = 12.40, P < 0.00001) of patients treated by acupoint application therapy were increased. Moreover, acupoint application might lower the level of immunoglobulin E (MD = -54.58, 95% CI (-63.54, -45.61), Z = 11.93, P < 0.00001) and EOS (MD = -0.21, 95% CI (-0.35, -0.06), Z = 2.77, P = 0.006). The LCQ (Leicester cough questionnaire) total score of CVA patients was also increased (MD = 2.30, 95% CI (1.55, 3.06), Z = 5.98, P < 0.00001). Acupoint application therapy is effective in controlling symptoms of CVA. It also has a positive effect in improving lung function and life quality of patients. It can reduce the eosinophil levels and peripheral blood IgE levels of patients as well."
#217,Acupuncture,"Acupuncture and acupressure at traditional Chinese medicine (TCM) sites used to treat low milk supply has been claimed to cause release of prolactin and oxytocin, although published studies have found mixed results on serum prolactin. A meta-analysis found that acupressure improved milk production and increased serum prolactin, but the quality and consistency of the studies was variable.[1] No serious adverse effects on milk production were seen among lactating women who received acupuncture or acupressure for postpartum sciatica.[1,2] Acupuncture has been well described in TCM for treating insufficient milk supply,[3,4] and has also been used in some Western countries.[5-7] Numerous studies found acupuncture at CV 17 (also referred to as Ren 17, Danzhong or Shanzong; located at the center of the sternum), SI 1 (Shaoze; on the little finger), ST 18 (Rugen; lower breast margins), Zusanli (ST 36), and Taichong (LR 3) to benefit women with a low postpartum milk supply.[8] These studies generally do not meet current evidence-based guidelines, partly because of the extreme difficulty in double-blinding and placebo-controlling acupuncture studies. However, 2 studies did find a better response to electroacupuncture applied at a traditional site for lactation stimulation (SI 1) than electroacupuncture applied at a site unrelated to milk production (LI 1). Electroacupuncture increased serum prolactin, infant weight and maternal perception of milk production more than domperidone alone.[9] None of the studies reported to date have made an attempt to optimize maternal nursing technique before acupuncture. Although less studied, acupressure at milk acupuncture sites has had similar effects.[10] Systematic reviews concluded that acupuncture and acupressure are effective in increasing serum prolactin and breastmilk volume, although study quality is critically low.[10-14] Acupressure combined with back massage increases serum prolactin and milk production more than either alone in one study.[15] The combination of acupuncture and Chinese herbal medicines appeared to be more effective in increasing lactation parameters than acupuncture alone.[14] Acupuncture therapy has been used to treat breastfeeding for milk stasis (engorgement). Randomized, nonblinded studies in an outpatient Swedish lactation clinic compared routine care (including oxytocin spray) to routine care plus acupuncture at 2 or 3 points for treating milk stasis.[16,17] A meta-analysis concluded that women who received acupuncture were less likely to develop an abscess, had less severe symptoms on day five, and had a lower rate of fever than women in the usual care group However, there is insufficient evidence from published trials to justify widespread implementation.[18] A survey of 50 Swedish maternity units in 2007 found that 60% of hospitals used acupuncture to treat milk stasis, 18% used acupuncture to treat mastitis, and 2.2% each used it for painful breastfeeding or to improve milk supply. The authors felt that this extensive use was not justified based on the limited evidence for most of these uses.[19] Acupuncture and acupressure have also been used successfully as a treatment for breast engorgement and pain.[11,20] Auricular therapy uses stimulation of acupoints on the ear corresponding to various anatomical sites and functions of the body for the diagnosis, treatment, and prevention of disease. All studies applied Vaccaria seeds to press on ear acupoints. Two systematic reviews on auricular therapy to increase milk supply have come to differing conclusions. One review found a positive effect on milk production, onset of lactation, serum prolactin, breast fullness, neonate states, and frequency of newborn urination and defecation.[21] A more recent review found varying efficacy between studies and poor methodology that did not allow for a definitive conclusion on efficacy as a galactogogue.[22] No adverse effects were reported in any studies. A newer additional small study found similar results.[23] A controlled study found that auricular acupressure may slightly increase the pain threshold some areas of the breast in nursing mothers.[24] A single-blind study found auriculotherapy to increase breastfeeding self-efficacy in the mothers of preterm infants and to increase infant weight gain at hospital discharge.[25]"
#279,Non-pharmacological approach to migraine prophylaxis: part II,"Acupuncture has been used to both prevent and treat diseases for over 3,000 years. Recently, a Cochrane review on its use in migraine concluded that acupuncture is effective and should be considered as a prophylactic measure for patients with frequent or insufficiently controlled migraine attacks. In contrast, there is no clear evidence to support or refute the use of homeopathy in the management of migraine. Among vitamins and other supplements, riboflavin and coenzyme Q10 significantly decreased the frequency of migraine attacks. Alpha lipoic acid also reduced migraine frequency, albeit not significantly as compared to placebo. The prophylactic efficacy of magnesium, particularly for children and menstrually related migraine, has recently been substantiated. Among the herbal remedies, butterbur significantly decreases attack frequency, whereas the efficacy of feverfew was not confirmed in a Cochrane review, probably because of the 400% variations in the dosage of its active principle. Finally, ginkgolide B has proved significantly effective in controlling migraine with aura and pediatric migraine in uncontrolled studies that need a confirmation."
#294,"Pain Relief during Oocyte Retrieval by Transcutaneous Electrical Acupoint Stimulation: A Single-Blinded, Randomized, Controlled Multicenter Trial","Acupuncture has pain-relief effects, but no data were available on the use of transcutaneous electric acupoint stimulation (TEAS) in pain relief during oocyte retrieval. This study was designed to examine the effect of TEAS for pain relief in women undergoing transvaginal ultrasound-guided oocyte aspiration. This single-blinded, multicenter, randomized controlled trial was performed in China between May 2013 and May 2015. The subjects were randomized to mock TEAS and TEAS. TEAS or mock TEAS was administered 30 min before oocyte retrieval until the end of the operation. The primary and secondary endpoints were the pain measured using the visual analog scale (VAS) within 1 min and 1 hour after oocyte retrieval, respectively. Serum β-endorphin levels were tested in the first 50 patients/group. 390 women were undergoing oocyte retrieval. Pain levels evaluated using VAS within 1 min (18.6 ± 1.3 vs. 24.4 ± 1.7, P < 0.01) and 1 h after oocyte aspiration (4.6 ± 0.7 vs. 6.8 ± 0.8, P < 0.05) were lower in the TEAS group than in the mock TEAS group. Nausea assessment revealed a significantly lower VAS score in the TEAS group within 1 min (1.2 ± 0.4 vs. 2.9 ± 0.7, P < 0.033). Serum β-endorphin levels were significantly higher in the TEAS group than in the mock TEAS group (11.4 ± 0.5 vs. 9.1 ± 0.4, P < 0.001) after retrieval. Serum β-endorphin levels were higher in the TEAS group after the procedure than baseline (11.4 ± 0.5 vs. 9.1 ± 0.3, P < 0.001). Oocyte retrieval causes pain and discomfort, but TEAS is effective and safe for suppressing the pain and alleviating nausea associated with the operation."
#386,A randomized controlled trial of acupuncture and moxibustion to treat Bell's palsy according to different stages: design and protocol,"Acupuncture to treat Bell's palsy is one of the most commonly used methods in China. There are a variety of acupuncture treatment options to treat Bell's palsy in clinical practice. Since Bell's palsy has three different path-stages (acute stage, resting stage and restoration stage), so whether acupuncture is effective in the different path-stages and which acupuncture treatment is the best method are major issues in acupuncture clinical trials about Bell's palsy. In this article, we report the design and protocol of a large sample multi-center randomized controlled trial to treat Bell's palsy with acupuncture. There are five acupuncture groups, with four according to different path-stages and one not. In total, 900 patients with Bell's palsy are enrolled in this study. These patients are randomly assigned to receive one of the following four treatment groups according to different path-stages, i.e. 1) staging acupuncture group, 2) staging acupuncture and moxibustion group, 3) staging electro-acupuncture group, 4) staging acupuncture along yangming musculature group or non-staging acupuncture control group. The outcome measurements in this trial are the effect comparison achieved among these five groups in terms of House-Brackmann scale (Global Score and Regional Score), Facial Disability Index scale, Classification scale of Facial Paralysis, and WHOQOL-BREF scale before randomization (baseline phase) and after randomization. The result of this trial will certify the efficacy of using staging acupuncture and moxibustion to treat Bell's palsy, and to approach a best acupuncture treatment among these five different methods for treating Bell's palsy."
#413,Acupuncture in the oncology setting: clinical trial update,"Acupuncture, the insertion of sterile needles into acupuncture points of traditional meridians on the body, is a common and effective treatment for a number of supportive care issues in oncology including acute chemotherapy-induced nausea and vomiting. In the Integrative Oncology setting, acupuncture and Traditional Oriental Medicine have become more visible and many oncology clinics, academic health centers and comprehensive cancer centers recommend and administer acupuncture treatment. Continued basic studies on the physiologic mechanisms of acupuncture and recent clinical trials of acupuncture for cancer patients are enhancing our knowledge and informing our guidelines. While debates on methodological problems confronting the study of acupuncture remain, the most recent research demonstrates that acupuncture is safe, tolerable and effective for a range of side effects resulting from conventional cancer treatments."
